exchange,time,return_cum_weight,return_weight,return_cum_month_weight,return_cum_year_weight,return20,return30,return40,return50,return60,return70,return80,return90,return100,return120,return140,return160,return180,return200,return10
HSX,2013-01-02,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
HSX,2013-01-03,5.5120671359701394e-08,7.00275805697777e-08,5.5120671359701394e-08,5.5120671359701394e-08,,,,,,,,,,,,,,,
HSX,2013-01-04,1.1853269867669246e-06,1.1400218095275987e-06,1.1853269867669246e-06,1.1853269867669246e-06,,,,,,,,,,,,,,,
HSX,2013-01-07,2.705702961515946e-06,1.5081646827044826e-06,2.705702961515946e-06,2.705702961515946e-06,,,,,,,,,,,,,,,
HSX,2013-01-08,4.982841139172937e-06,2.2242927737456935e-06,4.982841139172937e-06,4.982841139172937e-06,,,,,,,,,,,,,,,
HSX,2013-01-09,5.5118739259815925e-06,5.63180851420501e-07,5.5118739259815925e-06,5.5118739259815925e-06,,,,,,,,,,,,,,,
HSX,2013-01-10,7.754169487635934e-06,2.106463413348185e-06,7.754169487635934e-06,7.754169487635934e-06,,,,,,,,,,,,,,,
HSX,2013-01-11,7.837902381669516e-06,1.1552842577139135e-07,7.837902381669516e-06,7.837902381669516e-06,,,,,,,,,,,,,,,
HSX,2013-01-14,6.928636949865713e-06,-7.481488140108963e-07,6.928636949865713e-06,6.928636949865713e-06,,,,,,,,,,,,,,,
HSX,2013-01-15,7.674395445952093e-06,7.263172991674298e-07,7.674395445952093e-06,7.674395445952093e-06,,,,,,,,,,,,,,,7.705848022244164e-07
HSX,2013-01-16,8.494626662850301e-06,7.831525233492641e-07,8.494626662850301e-06,8.494626662850301e-06,,,,,,,,,,,,,,,8.489000545593428e-07
HSX,2013-01-17,7.098799211287784e-06,-1.2040151044684814e-06,7.098799211287784e-06,7.098799211287784e-06,,,,,,,,,,,,,,,7.214957860555169e-07
HSX,2013-01-18,6.586167138256347e-06,-4.449786509631135e-07,6.586167138256347e-06,6.586167138256347e-06,,,,,,,,,,,,,,,5.629957400064457e-07
HSX,2013-01-21,5.387648315582693e-06,-1.0826028067644246e-06,5.387648315582693e-06,5.387648315582693e-06,,,,,,,,,,,,,,,3.039189910595549e-07
HSX,2013-01-22,4.208044590735377e-06,-1.0663129215646133e-06,4.208044590735377e-06,4.208044590735377e-06,,,,,,,,,,,,,,,-2.5141578471475786e-08
HSX,2013-01-23,4.071198722007005e-06,-1.1319029553215903e-07,4.071198722007005e-06,4.071198722007005e-06,,,,,,,,,,,,,,,-9.277869316674178e-08
HSX,2013-01-24,5.738780844471559e-06,1.6090129717926205e-06,5.738780844471559e-06,5.738780844471559e-06,,,,,,,,,,,,,,,-1.4252373732229825e-07
HSX,2013-01-25,8.837349054648584e-06,2.9626076923778345e-06,8.837349054648584e-06,8.837349054648584e-06,,,,,,,,,,,,,,,1.421841893383461e-07
HSX,2013-01-28,1.1089438869209896e-05,2.0559960172534405e-06,1.1089438869209896e-05,1.1089438869209896e-05,,,,,,,,,,,,,,,4.225986724647798e-07
HSX,2013-01-29,1.2347174031524867e-05,1.098570700887432e-06,1.2347174031524867e-05,1.2347174031524867e-05,6.152044074305981e-07,,,,,,,,,,,,,,4.5982401263678e-07
HSX,2013-01-30,1.3154771003090917e-05,6.892754791154551e-07,1.3154771003090917e-05,1.3154771003090917e-05,6.496681813863709e-07,,,,,,,,,,,,,,4.5043630821339905e-07
HSX,2013-01-31,1.1475084447797374e-05,-1.400058517642549e-06,1.1475084447797374e-05,1.1475084447797374e-05,5.761638764757546e-07,,,,,,,,,,,,,,4.3083196689599234e-07
HSX,2013-02-01,1.2248183424044003e-05,6.565976920636123e-07,6.382851291950201e-07,1.2248183424044003e-05,5.519926706025553e-07,,,,,,,,,,,,,,5.409896011986649e-07
HSX,2013-02-04,1.1935495921526292e-05,-2.946339388930646e-07,3.336961746573409e-07,1.1935495921526292e-05,4.618527395226779e-07,,,,,,,,,,,,,,6.197864879858009e-07
HSX,2013-02-05,1.0913755072936251e-05,-8.386770083634547e-07,-5.310278043664773e-07,1.0913755072936251e-05,3.0870425041722044e-07,,,,,,,,,,,,,,6.425500793059167e-07
HSX,2013-02-06,1.3015526770006819e-05,1.8383368943202234e-06,1.2763074194875027e-06,1.3015526770006819e-05,3.724620525622066e-07,,,,,,,,,,,,,,8.37702798291155e-07
HSX,2013-02-07,1.3582985949636131e-05,5.63735697840281e-07,1.7957682701872624e-06,1.3582985949636131e-05,2.9532566678681143e-07,,,,,,,,,,,,,,7.331750708959211e-07
HSX,2013-02-08,1.4383660517808635e-05,7.072373822319493e-07,2.5176129834483917e-06,1.4383660517808635e-05,3.249111146098393e-07,,,,,,,,,,,,,,5.076380398813325e-07
HSX,2013-02-18,1.4176093265178594e-05,-9.540441113853074e-08,2.3905010954578582e-06,1.4176093265178594e-05,3.575483347534576e-07,,,,,,,,,,,,,,2.9249799704213543e-07
HSX,2013-02-19,1.3651847420172429e-05,-4.5742114498775005e-07,1.907574711618317e-06,1.3651847420172429e-05,2.9836141254569856e-07,4.557692091052712e-07,,,,,,,,,,,,,1.3689881245461721e-07
HSX,2013-02-20,1.4587321060054967e-05,7.642447679927748e-07,2.6797957866903284e-06,1.4587321060054967e-05,2.974160247778741e-07,4.812440347050303e-07,,,,,,,,,,,,,1.443957413423492e-07
HSX,2013-02-21,1.0603260076761507e-05,-3.2128879850041345e-06,-7.62226834176778e-07,1.0603260076761507e-05,1.9697238075109146e-07,3.7181351585256665e-07,,,,,,,,,,,,,-3.6887205393809335e-08
HSX,2013-02-22,1.0837511790464171e-05,2.815984935278249e-07,-5.497965108376206e-07,1.0837511790464171e-05,2.3330123797563835e-07,3.431994053192408e-07,,,,,,,,,,,,,-7.438712524738809e-08
HSX,2013-02-25,1.1830563633568066e-05,8.720205944558681e-07,2.9710606335590435e-07,1.1830563633568066e-05,3.3103240803665304e-07,3.219946023776203e-07,,,,,,,,,,,,,4.2278328087505176e-08
HSX,2013-02-26,8.183334836429936e-06,-3.060660351253984e-06,-2.8608084807489144e-06,8.183334836429936e-06,2.3131503655218446e-07,1.458294982109644e-07,,,,,,,,,,,,,-1.7992000620154777e-07
HSX,2013-02-27,8.299960647903591e-06,1.9720204020350047e-07,-2.6806039338298322e-06,8.299960647903591e-06,2.4683465333896743e-07,1.3363020450373103e-07,,,,,,,,,,,,,-3.440334916132201e-07
HSX,2013-02-28,9.851033562239438e-06,1.399622377660467e-06,-1.3832910112178836e-06,9.851033562239438e-06,2.363651236323598e-07,1.1006883664747378e-07,,,,,,,,,,,,,-2.604448236312014e-07
HSX,2013-03-01,1.0310300130919037e-05,4.0738942423751055e-07,3.914486600212888e-07,1.0310300130919037e-05,1.0860421022534359e-07,1.1979753659634442e-07,,,,,,,,,,,,,-2.9042961943064535e-07
HSX,2013-03-04,8.374674845727405e-06,-1.6204217919196784e-06,-1.314206752704018e-06,8.374674845727405e-06,-7.521668023331235e-08,9.072177066605166e-08,,,,,,,,,,,,,-4.429313575087601e-07
HSX,2013-03-05,6.898286582674663e-06,-1.2516098942460852e-06,-2.567699057708486e-06,6.898286582674663e-06,-1.9272570998998824e-07,2.4790864218934505e-08,2.11239348720305e-07,,,,,,,,,,,,-5.223502324345936e-07
HSX,2013-03-06,8.553181322820392e-06,1.5127402820901331e-06,-1.169050410798422e-06,8.553181322820392e-06,-1.515524698412543e-07,4.911045617696348e-08,2.490578557725583e-07,,,,,,,,,,,,-4.4750068102485776e-07
HSX,2013-03-07,7.534360970762247e-06,-8.420119057110297e-07,-2.035014485568855e-06,7.534360970762247e-06,-1.2365013924467836e-07,6.117722946887852e-08,2.2625686861553814e-07,,,,,,,,,,,,-2.104130730955473e-07
HSX,2013-03-08,8.49152630435854e-06,9.086158842670607e-07,-1.173403882953101e-06,8.49152630435854e-06,-1.1104922963450594e-07,1.0629704730988433e-07,2.204717204840247e-07,,,,,,,,,,,,-1.4771133402162368e-07
HSX,2013-03-11,9.857528432546368e-06,1.2842797405684045e-06,4.120255521288034e-08,9.857528432546368e-06,-3.210354566143247e-08,1.8519313222097863e-07,2.1487459693062275e-07,,,,,,,,,,,,-1.0648541941037003e-07
HSX,2013-03-12,9.671761174976107e-06,-2.0515656764448096e-07,-1.7819389681946494e-07,9.671761174976107e-06,-4.275236254837763e-10,2.1389834401831638e-07,1.5413836339586836e-07,,,,,,,,,,,,1.790649589505803e-07
HSX,2013-03-13,9.181524611934932e-06,-4.141890093826662e-07,-5.990579494584166e-07,9.181524611934932e-06,-1.1305381881062825e-07,2.0386505355663282e-07,1.2970411687578917e-07,,,,,,,,,,,,1.1792585399196361e-07
HSX,2013-03-14,9.401810333782829e-06,1.8214892964665545e-07,-4.35818300540445e-07,9.401810333782829e-06,-1.3213315722030953e-07,1.5630291881843398e-07,8.159625478325094e-08,,,,,,,,,,,,-3.821490809417544e-09
HSX,2013-03-15,1.0916774565364181e-05,1.3340107342462378e-06,8.853067195426973e-07,1.0916774565364181e-05,-1.0079448961959511e-07,1.0201635354738078e-07,1.120583124951221e-07,,,,,,,,,,,,8.884064019145519e-08
HSX,2013-03-18,1.0321769787293542e-05,-3.8426097851592557e-07,4.261664425492149e-07,1.0321769787293542e-05,-1.1523731798846486e-07,2.0674453688401903e-08,1.2115550838249638e-07,,,,,,,,,,,,2.1245672153183044e-07
HSX,2013-03-19,1.0378762450162784e-05,7.1583242973764795e-09,4.201399409922134e-07,1.0378762450162784e-05,-9.200834452420852e-08,-1.5705958864599942e-08,1.0317653401074502e-07,2.3665818765347932e-07,,,,,,,,,,,3.3833354338617664e-07
HSX,2013-03-20,1.1353855540125851e-05,8.561157386140798e-07,1.2881365435235e-06,1.1353855540125851e-05,-8.741479599314327e-08,-1.0144616881312453e-08,1.0500061439236541e-07,2.537805024257609e-07,,,,,,,,,,,2.726710890385713e-07
HSX,2013-03-21,1.2347073058263494e-05,8.967982181335326e-07,2.1916685206421465e-06,1.2347073058263494e-05,1.1806951416374008e-07,6.641727431122358e-08,1.5752094745741578e-07,2.70315915177036e-07,,,,,,,,,,,4.465521014230275e-07
HSX,2013-03-22,1.190172404316309e-05,-3.9413285605880535e-07,1.8103023554313105e-06,1.190172404316309e-05,8.428294668440858e-08,3.1392922707143e-08,1.5879209233002346e-07,2.3963282186530795e-07,,,,,,,,,,,3.162772273904409e-07
HSX,2013-03-25,1.2584626877213245e-05,6.175122692727615e-07,2.395018005539136e-06,1.2584626877213245e-05,7.155753042525324e-08,6.179779631267054e-08,2.0129496923095314e-07,2.218197735966735e-07,,,,,,,,,,,2.496004802608766e-07
HSX,2013-03-26,1.1724723777267415e-05,-7.007939446973997e-07,1.6152977041328804e-06,1.1724723777267415e-05,1.8955085075308245e-07,6.639389843487237e-08,2.1043294365263343e-07,1.633180392278116e-07,,,,,,,,,,,2.0003674255558474e-07
HSX,2013-03-27,1.1811422517979907e-05,3.5311631523686084e-08,1.683369674510913e-06,1.1811422517979907e-05,1.8145633031909175e-07,6.293056341654458e-09,2.1414549182902963e-07,1.5276065482987533e-07,,,,,,,,,,,2.4498680664621994e-07
HSX,2013-03-28,1.1380498917258892e-05,-3.8930925945773496e-07,1.3003618091407569e-06,1.1380498917258892e-05,9.200974846318165e-08,-2.5475108901612742e-08,1.641874360477707e-07,1.0284520137375692e-07,,,,,,,,,,,1.878409877357809e-07
HSX,2013-03-29,1.143927282892771e-05,3.72624211197481e-08,1.3605584184868668e-06,1.143927282892771e-05,7.350339830729353e-08,-4.7807607605352786e-08,9.105380426631856e-08,1.0127988128072405e-07,,,,,,,,,,,5.816615642313195e-08
HSX,2013-04-01,1.4124210203966745e-05,2.347528313067547e-06,2.288278266136487e-06,1.4124210203966745e-05,2.719009035566548e-07,3.362348320151648e-08,9.834211166167121e-08,1.631934238222929e-07,,,,,,,,,,,3.313450855814792e-07
HSX,2013-04-02,1.515200393826852e-05,9.465579215513168e-07,3.2264319011538014e-06,1.515200393826852e-05,3.818092943465249e-07,8.042278541948537e-08,9.454179217826834e-08,1.6759823626997065e-07,2.680959972623783e-07,,,,,,,,,,4.2528504530687325e-07
HSX,2013-04-03,1.4393738799655433e-05,-6.598838909708117e-07,2.5282380349239794e-06,1.4393738799655433e-05,2.7317808569347763e-07,3.295183012069915e-08,6.081280792611168e-08,1.3873750798356915e-07,2.570979324128647e-07,,,,,,,,,,2.7368508234838413e-07
HSX,2013-04-04,1.2922578555685588e-05,-1.1266442790054688e-06,1.3296549220746392e-06,1.2922578555685588e-05,2.589464670287557e-07,1.0249328698732134e-07,6.764816389203867e-08,1.402849244928294e-07,2.3715340141994398e-07,,,,,,,,,,7.134083263448395e-08
HSX,2013-04-05,1.3823285448023658e-05,7.346220562853367e-07,2.070936191984143e-06,1.3823285448023658e-05,2.502467756296695e-07,1.1759407241257175e-07,6.959877299758178e-08,1.6387693863779838e-07,2.303967388659063e-07,,,,,,,,,,1.8421632386889817e-07
HSX,2013-04-08,1.4471472010224828e-05,5.480424942255575e-07,2.628458483158467e-06,1.4471472010224828e-05,2.1343491331252713e-07,1.0679480240489473e-07,9.066568382554734e-08,1.9648984465759808e-07,2.1439470239125755e-07,,,,,,,,,,1.7726934636417777e-07
HSX,2013-04-09,1.4902191384767693e-05,3.029897011636849e-07,2.9056258001485486e-06,1.4902191384767693e-05,2.3884222675293544e-07,2.1891647081881705e-07,1.1920735156372584e-07,2.23875897112164e-07,1.823729845148907e-07,,,,,,,,,,2.7764771095028627e-07
HSX,2013-04-10,1.2168111864524103e-05,-2.2026295675453733e-06,5.532752935007374e-07,1.2168111864524103e-05,1.4942019884480012e-07,1.3892208389385456e-07,1.8183190017085914e-08,1.8208711167189974e-07,1.3627614419879282e-07,,,,,,,,,,5.385359104338029e-08
HSX,2013-04-11,1.3515982988515793e-05,1.1387325399384678e-06,1.669579233357112e-06,1.3515982988515793e-05,1.9724937935939073e-07,1.302257559697879e-07,3.255811106954058e-08,1.726815030348167e-07,1.2014729630863087e-07,,,,,,,,,,2.0665777098300062e-07
HSX,2013-04-12,1.1691323552676925e-05,-1.4772039807736683e-06,1.4188581867396551e-07,1.1691323552676925e-05,5.668864360839542e-08,6.740597580274861e-08,-2.2052923005599858e-08,8.388526957178661e-08,9.360175619954653e-08,,,,,,,,,,5.521113079365895e-08
HSX,2013-04-15,8.760736261565943e-06,-2.483578171809131e-06,-2.389307399134171e-06,8.760736261565943e-06,-4.827721605626486e-08,3.863409647310021e-08,-8.175726702236487e-08,-6.906214209464805e-09,6.467793356957595e-08,,,,,,,,,,-4.2789951769400894e-07
HSX,2013-04-16,8.398306562913896e-06,-2.721652514194619e-07,-2.679745982774889e-06,8.398306562913896e-06,-6.224339484210677e-08,7.128225123398765e-08,-7.712586968315765e-08,-3.432093325560268e-08,4.8036557726461086e-08,1.5125773551188327e-07,,,,,,,,,-5.497718349910867e-07
HSX,2013-04-17,9.508536174031919e-06,9.968334110902936e-07,-1.7701532101640122e-06,9.508536174031919e-06,-5.520751121829608e-08,5.4085355533993004e-08,-7.131115360571969e-08,-2.8169774616105916e-08,5.1597905855478246e-08,1.6549821281317317e-07,,,,,,,,,-3.8410010478497625e-07
